nome;jogos_jogados;ama;taxa_vitoria;taxa_escolha;taxa_banimento;cs;ouro;region;tier
Miss Fortune;18.164;2.19:1;48.79%;27.64%;13.87%;154.79;12.410;br;iron
Lux;17.346;2.37:1;48.58%;26.4%;38.62%;91.24;10.420;br;iron
Kayn;12.893;1.82:1;46.89%;19.62%;17.1%;156.88;11.846;br;iron
Caitlyn;12.526;1.97:1;47.28%;19.06%;37.02%;160.68;11.902;br;iron
Morgana;12.418;2.50:1;49.65%;18.9%;32.35%;66.49;9.927;br;iron
Warwick;11.708;1.90:1;49.59%;17.82%;21.39%;146.93;12.020;br;iron
Mel;11.454;2.17:1;46.53%;17.43%;45.48%;118.3;11.473;br;iron
Mordekaiser;10.989;1.81:1;49.93%;16.72%;26.53%;148.84;11.547;br;iron
Yasuo;10.821;1.59:1;49.35%;16.47%;33.08%;174.71;11.933;br;iron
Seraphine;10.033;2.53:1;47.46%;15.27%;5.94%;52.36;9.396;br;iron
Yone;9.837;1.52:1;45.59%;14.97%;8.96%;164.33;11.357;br;iron
Volibear;9.569;1.89:1;49.25%;14.56%;8.48%;154.68;11.514;br;iron
Ashe;9.513;2.01:1;47.48%;14.48%;5.97%;141.72;11.236;br;iron
Jhin;9.455;2.37:1;46.56%;14.39%;5.9%;149.94;11.945;br;iron
Jinx;9.415;1.99:1;46.94%;14.33%;5.78%;157.03;11.492;br;iron
Teemo;9.064;1.86:1;49.69%;13.79%;28.83%;151.26;11.616;br;iron
Jax;9.051;1.68:1;49.09%;13.77%;7.34%;152.38;11.732;br;iron
Nautilus;8.460;2.23:1;46.94%;12.87%;10.96%;49.1;9.151;br;iron
Master Yi;8.175;1.75:1;47.99%;12.44%;27.7%;162.53;12.456;br;iron
Veigar;8.115;2.08:1;48.6%;12.35%;6.27%;146.63;11.701;br;iron
Shaco;7.863;2.14:1;45.47%;11.97%;51.85%;132.99;11.648;br;iron
Diana;7.602;1.90:1;48.63%;11.57%;6.86%;156.78;12.203;br;iron
Tristana;7.510;1.91:1;44.93%;11.43%;6.16%;148.41;12.025;br;iron
Sett;7.472;1.60:1;49.52%;11.37%;6.61%;147.71;11.505;br;iron
Sylas;7.294;1.79:1;45.86%;11.1%;5.74%;132.21;11.068;br;iron
Kai'Sa;7.090;2.16:1;46.18%;10.79%;2.99%;167.03;12.271;br;iron
Yorick;6.884;1.87:1;51.03%;10.48%;33.06%;182.6;12.257;br;iron
Yunara;6.803;1.86:1;46.38%;10.35%;15.66%;164.11;11.784;br;iron
Xin Zhao;6.769;1.88:1;47.07%;10.3%;3.07%;147.77;11.415;br;iron
Trundle;6.341;1.83:1;48.05%;9.65%;5.24%;154.52;11.763;br;iron
Vayne;6.149;1.82:1;47.49%;9.36%;6.82%;146.29;11.825;br;iron
Irelia;6.140;1.52:1;45.88%;9.34%;15.4%;189.49;12.686;br;iron
Ahri;6.009;2.09:1;46.56%;9.14%;5.07%;146.93;10.790;br;iron
Darius;5.917;1.60:1;44.55%;9%;14.96%;154.03;11.337;br;iron
Akali;5.864;2.02:1;46.11%;8.92%;10.47%;134.59;11.226;br;iron
Malzahar;5.429;2.03:1;50.21%;8.26%;15.64%;193.95;12.432;br;iron
Zed;5.427;2.01:1;44.17%;8.26%;19.02%;158.64;12.097;br;iron
Lulu;5.410;2.58:1;45.66%;8.23%;4.42%;31.73;8.379;br;iron
Pantheon;5.393;1.94:1;46.32%;8.21%;2.24%;101.6;10.996;br;iron
Ekko;5.387;2.08:1;46.37%;8.2%;2.83%;151.09;12.005;br;iron
Garen;5.327;1.82:1;46.59%;8.11%;1.87%;167.02;11.934;br;iron
Heimerdinger;5.093;1.74:1;48.83%;7.75%;11.99%;157.44;11.360;br;iron
Zyra;5.064;2.17:1;48.58%;7.71%;5.17%;84.62;10.287;br;iron
Leona;4.984;2.30:1;49.82%;7.58%;4.11%;31.45;8.794;br;iron
Malphite;4.776;2.30:1;48.87%;7.27%;2.17%;117.11;10.920;br;iron
Senna;4.571;2.47:1;44.87%;6.96%;1.52%;79.93;10.502;br;iron
Ezreal;4.484;2.13:1;43.91%;6.82%;2.34%;145.86;11.106;br;iron
Brand;4.451;1.93:1;49.76%;6.77%;5.18%;86.52;10.653;br;iron
Neeko;4.437;1.96:1;46.5%;6.75%;2.71%;77.92;9.928;br;iron
Viego;4.388;1.89:1;47.06%;6.68%;2.08%;154.61;12.004;br;iron
Pyke;4.371;1.89:1;44.64%;6.65%;12.04%;36.19;10.026;br;iron
Nami;4.352;3.02:1;49.31%;6.62%;1.1%;25.13;8.466;br;iron
Nocturne;4.325;2.18:1;47.93%;6.58%;6.82%;164.45;12.253;br;iron
Aatrox;4.273;1.53:1;43.88%;6.5%;6.18%;144.88;10.614;br;iron
Thresh;4.240;2.28:1;45.45%;6.45%;1.39%;37.2;8.806;br;iron
Blitzcrank;4.225;2.19:1;45.92%;6.43%;11.06%;30.35;8.555;br;iron
Briar;4.203;1.85:1;49.73%;6.4%;7.92%;149.13;12.306;br;iron
Illaoi;4.003;1.53:1;50.09%;6.09%;13.89%;165.05;11.643;br;iron
Varus;3.911;1.96:1;44.18%;5.95%;1.24%;150.64;11.466;br;iron
LeBlanc;3.905;2.29:1;44.28%;5.94%;10.2%;130.26;11.017;br;iron
Sivir;3.809;2.14:1;47.6%;5.8%;2.46%;187.95;12.112;br;iron
Amumu;3.722;2.12:1;50.08%;5.66%;2.1%;138.36;10.892;br;iron
Twitch;3.720;2.05:1;44.38%;5.66%;4.76%;139.23;12.093;br;iron
Swain;3.695;2.15:1;47.82%;5.62%;2.58%;76.33;10.108;br;iron
Milio;3.647;3.33:1;49.3%;5.55%;2.01%;33.24;8.362;br;iron
Tahm Kench;3.637;2.15:1;46.82%;5.54%;3.22%;55.88;9.673;br;iron
Soraka;3.626;2.76:1;48.73%;5.52%;3.53%;25.71;8.134;br;iron
Nasus;3.580;1.94:1;48.35%;5.45%;1.71%;157.79;11.545;br;iron
Fiora;3.533;1.35:1;43.59%;5.38%;2.82%;151.39;11.282;br;iron
Galio;3.392;2.35:1;49.06%;5.16%;1.39%;115.16;10.263;br;iron
Lucian;3.386;2.05:1;44.09%;5.15%;1.7%;163.53;12.130;br;iron
Wukong;3.319;2.29:1;49.98%;5.05%;0.98%;149.8;11.534;br;iron
Fizz;3.313;2.10:1;49.41%;5.04%;7.65%;135.67;12.126;br;iron
Tryndamere;3.212;1.65:1;48.07%;4.89%;2.41%;178.46;12.373;br;iron
Vladimir;3.208;1.89:1;48%;4.88%;7.86%;153.83;11.196;br;iron
Ziggs;3.202;2.22:1;48.66%;4.87%;1.17%;153.29;11.587;br;iron
Urgot;3.201;1.91:1;48.77%;4.87%;2.65%;175.35;12.426;br;iron
Vel'Koz;3.196;2.25:1;49.87%;4.86%;1.54%;85.28;10.651;br;iron
Renekton;3.179;1.67:1;45.45%;4.84%;2.14%;162.2;11.364;br;iron
Samira;3.137;1.91:1;46.83%;4.77%;9.53%;153.48;12.470;br;iron
Quinn;3.129;1.87:1;47.08%;4.76%;3.97%;145.19;12.171;br;iron
Vex;3.105;2.08:1;46.96%;4.73%;4.58%;143.88;10.964;br;iron
Karma;3.093;2.45:1;46.88%;4.71%;1.93%;49.57;8.997;br;iron
Lee Sin;2.985;2.04:1;43.75%;4.54%;2.96%;139.62;11.344;br;iron
Katarina;2.926;1.90:1;45.18%;4.45%;4.82%;138.47;11.865;br;iron
Sona;2.839;2.86:1;48.61%;4.32%;0.33%;30.41;8.649;br;iron
Kayle;2.700;1.69:1;48.07%;4.11%;1.06%;173.15;11.929;br;iron
Yuumi;2.665;4.14:1;42.85%;4.06%;1.42%;11.84;7.940;br;iron
Qiyana;2.663;1.65:1;41.08%;4.05%;0.98%;141.93;11.389;br;iron
Cho'Gath;2.656;1.93:1;48.53%;4.04%;1.24%;140.03;11.245;br;iron
Smolder;2.619;2.23:1;48.38%;3.99%;0.97%;172.39;12.022;br;iron
Dr. Mundo;2.599;1.84:1;49.48%;3.96%;2.67%;152.13;11.096;br;iron
Aphelios;2.579;1.73:1;46.8%;3.92%;1.47%;148.34;11.505;br;iron
Vi;2.494;1.94:1;47.51%;3.8%;0.49%;150.71;11.365;br;iron
Xayah;2.477;1.92:1;45.42%;3.77%;0.68%;160.24;11.433;br;iron
Aurora;2.463;2.00:1;45.15%;3.75%;3.58%;150.45;10.935;br;iron
Hwei;2.424;1.99:1;45.83%;3.69%;1.12%;130.41;10.586;br;iron
Xerath;2.417;2.42:1;48.03%;3.68%;1.54%;105.59;10.809;br;iron
Naafiri;2.416;2.16:1;46.15%;3.68%;2.75%;157.11;12.053;br;iron
Braum;2.355;2.46:1;47.13%;3.58%;0.72%;27.21;8.515;br;iron
Rakan;2.343;2.40:1;44.22%;3.57%;0.36%;30.72;8.406;br;iron
Poppy;2.330;2.10:1;48.37%;3.55%;0.54%;91.99;10.107;br;iron
Sejuani;2.190;2.40:1;47.58%;3.34%;0.51%;140.85;10.773;br;iron
Rell;2.158;2.50:1;48.56%;3.28%;1.09%;29.99;8.828;br;iron
Kha'Zix;2.039;1.88:1;42.28%;3.1%;1.95%;150.64;12.064;br;iron
Draven;2.015;1.79:1;44.02%;3.07%;7.52%;150.34;12.174;br;iron
Ryze;2.006;1.94:1;47.61%;3.05%;0.31%;175.41;11.741;br;iron
Gragas;2.004;1.88:1;43.96%;3.05%;0.2%;135.47;10.617;br;iron
Gwen;1.994;1.36:1;41.52%;3.03%;1.43%;148.89;10.852;br;iron
Kindred;1.968;1.69:1;43.29%;3%;0.63%;153.02;12.128;br;iron
Fiddlesticks;1.955;1.90:1;45.12%;2.98%;0.63%;140.57;11.302;br;iron
