nome;jogos_jogados;ama;taxa_vitoria;taxa_escolha;taxa_banimento;cs;ouro;region;tier
Miss Fortune;18164.0;2.19:1;48.79;27.64;13.87;154.79;12410.0;br;iron
Lux;17346.0;2.37:1;48.58;26.4;38.62;91.24;10420.0;br;iron
Kayn;12893.0;1.82:1;46.89;19.62;17.1;156.88;11846.0;br;iron
Caitlyn;12526.0;1.97:1;47.28;19.06;37.02;160.68;11902.0;br;iron
Morgana;12418.0;2.50:1;49.65;18.9;32.35;66.49;9927.0;br;iron
Warwick;11708.0;1.90:1;49.59;17.82;21.39;146.93;12020.0;br;iron
Mel;11454.0;2.17:1;46.53;17.43;45.48;118.3;11473.0;br;iron
Mordekaiser;10989.0;1.81:1;49.93;16.72;26.53;148.84;11547.0;br;iron
Yasuo;10821.0;1.59:1;49.35;16.47;33.08;174.71;11933.0;br;iron
Seraphine;10033.0;2.53:1;47.46;15.27;5.94;52.36;9396.0;br;iron
Yone;9837.0;1.52:1;45.59;14.97;8.96;164.33;11357.0;br;iron
Volibear;9569.0;1.89:1;49.25;14.56;8.48;154.68;11514.0;br;iron
Ashe;9513.0;2.01:1;47.48;14.48;5.97;141.72;11236.0;br;iron
Jhin;9455.0;2.37:1;46.56;14.39;5.9;149.94;11945.0;br;iron
Jinx;9415.0;1.99:1;46.94;14.33;5.78;157.03;11492.0;br;iron
Teemo;9064.0;1.86:1;49.69;13.79;28.83;151.26;11616.0;br;iron
Jax;9051.0;1.68:1;49.09;13.77;7.34;152.38;11732.0;br;iron
Nautilus;8460.0;2.23:1;46.94;12.87;10.96;49.1;9151.0;br;iron
Master Yi;8175.0;1.75:1;47.99;12.44;27.7;162.53;12456.0;br;iron
Veigar;8115.0;2.08:1;48.6;12.35;6.27;146.63;11701.0;br;iron
Shaco;7863.0;2.14:1;45.47;11.97;51.85;132.99;11648.0;br;iron
Diana;7602.0;1.90:1;48.63;11.57;6.86;156.78;12203.0;br;iron
Tristana;7510.0;1.91:1;44.93;11.43;6.16;148.41;12025.0;br;iron
Sett;7472.0;1.60:1;49.52;11.37;6.61;147.71;11505.0;br;iron
Sylas;7294.0;1.79:1;45.86;11.1;5.74;132.21;11068.0;br;iron
Kai'Sa;7090.0;2.16:1;46.18;10.79;2.99;167.03;12271.0;br;iron
Yorick;6884.0;1.87:1;51.03;10.48;33.06;182.6;12257.0;br;iron
Yunara;6803.0;1.86:1;46.38;10.35;15.66;164.11;11784.0;br;iron
Xin Zhao;6769.0;1.88:1;47.07;10.3;3.07;147.77;11415.0;br;iron
Trundle;6341.0;1.83:1;48.05;9.65;5.24;154.52;11763.0;br;iron
Vayne;6149.0;1.82:1;47.49;9.36;6.82;146.29;11825.0;br;iron
Irelia;6140.0;1.52:1;45.88;9.34;15.4;189.49;12686.0;br;iron
Ahri;6009.0;2.09:1;46.56;9.14;5.07;146.93;10790.0;br;iron
Darius;5917.0;1.60:1;44.55;9.0;14.96;154.03;11337.0;br;iron
Akali;5864.0;2.02:1;46.11;8.92;10.47;134.59;11226.0;br;iron
Malzahar;5429.0;2.03:1;50.21;8.26;15.64;193.95;12432.0;br;iron
Zed;5427.0;2.01:1;44.17;8.26;19.02;158.64;12097.0;br;iron
Lulu;5410.0;2.58:1;45.66;8.23;4.42;31.73;8379.0;br;iron
Pantheon;5393.0;1.94:1;46.32;8.21;2.24;101.6;10996.0;br;iron
Ekko;5387.0;2.08:1;46.37;8.2;2.83;151.09;12005.0;br;iron
Garen;5327.0;1.82:1;46.59;8.11;1.87;167.02;11934.0;br;iron
Heimerdinger;5093.0;1.74:1;48.83;7.75;11.99;157.44;11360.0;br;iron
Zyra;5064.0;2.17:1;48.58;7.71;5.17;84.62;10287.0;br;iron
Leona;4984.0;2.30:1;49.82;7.58;4.11;31.45;8794.0;br;iron
Malphite;4776.0;2.30:1;48.87;7.27;2.17;117.11;10920.0;br;iron
Senna;4571.0;2.47:1;44.87;6.96;1.52;79.93;10502.0;br;iron
Ezreal;4484.0;2.13:1;43.91;6.82;2.34;145.86;11106.0;br;iron
Brand;4451.0;1.93:1;49.76;6.77;5.18;86.52;10653.0;br;iron
Neeko;4437.0;1.96:1;46.5;6.75;2.71;77.92;9928.0;br;iron
Viego;4388.0;1.89:1;47.06;6.68;2.08;154.61;12004.0;br;iron
Pyke;4371.0;1.89:1;44.64;6.65;12.04;36.19;10026.0;br;iron
Nami;4352.0;3.02:1;49.31;6.62;1.1;25.13;8466.0;br;iron
Nocturne;4325.0;2.18:1;47.93;6.58;6.82;164.45;12253.0;br;iron
Aatrox;4273.0;1.53:1;43.88;6.5;6.18;144.88;10614.0;br;iron
Thresh;4240.0;2.28:1;45.45;6.45;1.39;37.2;8806.0;br;iron
Blitzcrank;4225.0;2.19:1;45.92;6.43;11.06;30.35;8555.0;br;iron
Briar;4203.0;1.85:1;49.73;6.4;7.92;149.13;12306.0;br;iron
Illaoi;4003.0;1.53:1;50.09;6.09;13.89;165.05;11643.0;br;iron
Varus;3911.0;1.96:1;44.18;5.95;1.24;150.64;11466.0;br;iron
LeBlanc;3905.0;2.29:1;44.28;5.94;10.2;130.26;11017.0;br;iron
Sivir;3809.0;2.14:1;47.6;5.8;2.46;187.95;12112.0;br;iron
Amumu;3722.0;2.12:1;50.08;5.66;2.1;138.36;10892.0;br;iron
Twitch;3720.0;2.05:1;44.38;5.66;4.76;139.23;12093.0;br;iron
Swain;3695.0;2.15:1;47.82;5.62;2.58;76.33;10108.0;br;iron
Milio;3647.0;3.33:1;49.3;5.55;2.01;33.24;8362.0;br;iron
Tahm Kench;3637.0;2.15:1;46.82;5.54;3.22;55.88;9673.0;br;iron
Soraka;3626.0;2.76:1;48.73;5.52;3.53;25.71;8134.0;br;iron
Nasus;3580.0;1.94:1;48.35;5.45;1.71;157.79;11545.0;br;iron
Fiora;3533.0;1.35:1;43.59;5.38;2.82;151.39;11282.0;br;iron
Galio;3392.0;2.35:1;49.06;5.16;1.39;115.16;10263.0;br;iron
Lucian;3386.0;2.05:1;44.09;5.15;1.7;163.53;12130.0;br;iron
Wukong;3319.0;2.29:1;49.98;5.05;0.98;149.8;11534.0;br;iron
Fizz;3313.0;2.10:1;49.41;5.04;7.65;135.67;12126.0;br;iron
Tryndamere;3212.0;1.65:1;48.07;4.89;2.41;178.46;12373.0;br;iron
Vladimir;3208.0;1.89:1;48.0;4.88;7.86;153.83;11196.0;br;iron
Ziggs;3202.0;2.22:1;48.66;4.87;1.17;153.29;11587.0;br;iron
Urgot;3201.0;1.91:1;48.77;4.87;2.65;175.35;12426.0;br;iron
Vel'Koz;3196.0;2.25:1;49.87;4.86;1.54;85.28;10651.0;br;iron
Renekton;3179.0;1.67:1;45.45;4.84;2.14;162.2;11364.0;br;iron
Samira;3137.0;1.91:1;46.83;4.77;9.53;153.48;12470.0;br;iron
Quinn;3129.0;1.87:1;47.08;4.76;3.97;145.19;12171.0;br;iron
Vex;3105.0;2.08:1;46.96;4.73;4.58;143.88;10964.0;br;iron
Karma;3093.0;2.45:1;46.88;4.71;1.93;49.57;8997.0;br;iron
Lee Sin;2985.0;2.04:1;43.75;4.54;2.96;139.62;11344.0;br;iron
Katarina;2926.0;1.90:1;45.18;4.45;4.82;138.47;11865.0;br;iron
Sona;2839.0;2.86:1;48.61;4.32;0.33;30.41;8649.0;br;iron
Kayle;2700.0;1.69:1;48.07;4.11;1.06;173.15;11929.0;br;iron
Yuumi;2665.0;4.14:1;42.85;4.06;1.42;11.84;7940.0;br;iron
Qiyana;2663.0;1.65:1;41.08;4.05;0.98;141.93;11389.0;br;iron
Cho'Gath;2656.0;1.93:1;48.53;4.04;1.24;140.03;11245.0;br;iron
Smolder;2619.0;2.23:1;48.38;3.99;0.97;172.39;12022.0;br;iron
Dr. Mundo;2599.0;1.84:1;49.48;3.96;2.67;152.13;11096.0;br;iron
Aphelios;2579.0;1.73:1;46.8;3.92;1.47;148.34;11505.0;br;iron
Vi;2494.0;1.94:1;47.51;3.8;0.49;150.71;11365.0;br;iron
