nome;vitorias;derrotas;taxa_vitoria;kda;kills;deaths;assists;dano_min;kp
Kai'Sa;9;11;45;3.23;11.2;6.5;9.7;804.1;21.9
Ashe;9;10;47;2.30;7.1;7.6;10.5;728.3;19.7
Lux;5;5;50;2.35;6.0;8.0;12.8;748.9;20.7
Caitlyn;4;6;40;2.51;11.7;7.7;7.6;902.2;24.5
Vayne;7;1;88;2.06;9.3;7.8;6.8;778.2;19.9
Kayn;6;2;75;2.84;8.6;7.1;11.6;858.1;20.1
Ezreal;4;3;57;3.07;5.4;4.0;6.9;767.5;25.2
Morgana;3;4;43;2.63;4.6;7.0;13.9;619.4;17.5
Miss Fortune;4;2;67;4.03;14.3;5.8;9.2;926.3;25.9
Akali;3;3;50;3.19;8.2;4.3;5.7;823.2;24.6
Riven;3;2;60;2.24;6.2;5.0;5.0;570.4;18.6
Mel;2;3;40;2.28;10.2;10.0;12.6;888.3;20.4
Yunara;2;3;40;2.06;8.0;9.4;11.4;780.4;21.0
Neeko;4;0;100;3.60;5.0;5.0;13.0;612.7;16.6
Garen;4;0;100;1.85;10.5;10.0;8.0;886.2;21.3
Jhin;2;2;50;2.50;5.0;5.0;7.5;495.2;15.2
Diana;2;2;50;1.94;8.0;8.3;8.0;846.0;22.6
Senna;1;3;25;2.75;8.5;8.0;13.5;882.3;23.1
Poppy;1;3;25;2.41;3.8;8.5;16.8;472.1;11.8
Yasuo;3;0;100;3.00;5.3;4.0;6.7;507.9;17.4
Irelia;1;2;33;1.24;2.7;5.7;4.3;362.9;13.6
Kayle;1;2;33;1.35;5.0;6.7;4.0;660.2;19.7
Sivir;1;2;33;2.15;4.7;4.3;4.7;528.6;21.3
Sett;0;3;0;1.18;2.3;9.3;8.7;501.8;18.7
Fiora;0;3;0;1.19;6.0;8.7;4.3;737.2;22.3
Varus;2;0;100;2.47;9.5;7.5;9.0;902.3;24.7
Ahri;1;1;50;2.38;6.5;8.0;12.5;753.0;20.9
Syndra;1;1;50;2.38;8.5;8.0;10.5;862.8;23.1
Samira;1;1;50;1.20;5.5;10.0;6.5;525.2;13.4
Yone;1;1;50;1.30;8.0;10.0;5.0;831.6;20.6
Darius;1;1;50;1.35;6.0;8.5;5.5;471.2;15.2
Vex;1;1;50;2.85;10.0;6.5;8.5;823.9;23.1
Gwen;0;2;0;0.79;5.0;9.5;2.5;545.1;19.4
Annie;0;2;0;1.50;3.0;10.0;12.0;503.6;14.1
Janna;1;0;100;3.30;7.0;10.0;26.0;321.0;8.5
Pyke;0;1;0;0.91;3.0;11.0;7.0;291.9;9.4
Lee Sin;0;1;0;1.64;7.0;11.0;11.0;551.0;15.4
Ekko;0;1;0;2.00;7.0;9.0;11.0;421.3;13.5
Jinx;0;1;0;1.42;5.0;12.0;12.0;576.9;12.1
Sona;0;1;0;1.10;3.0;10.0;8.0;521.2;19.6
Lulu;0;1;0;1.63;3.0;8.0;10.0;289.6;12.3
Viego;0;1;0;1.13;3.0;8.0;6.0;318.9;11.5
Nilah;0;1;0;1.38;6.0;16.0;16.0;932.8;28.2
Blitzcrank;0;1;0;1.54;3.0;13.0;17.0;316.5;9.7
Shen;0;1;0;0.89;1.0;9.0;7.0;300.8;10.2
